 >PIPOBJ: point-in-polyhedron; NX,NY,NZ= 20 41 20 
     8278        1 = NAT, NIN
 1.000000 0.000000 0.000000 = A_1 vector
 0.000000 1.000000 0.000000 = A_2 vector
 1.000000 1.000000 1.000000 = lattice spacings(d_x,d_y,d_z)/d
 0.0 0.0 0.0 = lattice offset x0(1-3) =(x_TF,y_TF,z_TF)/d for dipole 0 0 0
       JA    IX    IY    IZ  ICOMP(x,y,z)
       1     -4    -1    -9     1 1 1
       2     -4     0    -9     1 1 1
       3     -4     1    -9     1 1 1
       4     -3    -3    -9     1 1 1
       5     -3    -2    -9     1 1 1
       6     -3    -1    -9     1 1 1
       7     -3     0    -9     1 1 1
       8     -3     1    -9     1 1 1
       9     -3     2    -9     1 1 1
      10     -3     3    -9     1 1 1
      11     -2    -3    -9     1 1 1
      12     -2    -2    -9     1 1 1
      13     -2    -1    -9     1 1 1
      14     -2     0    -9     1 1 1
      15     -2     1    -9     1 1 1
      16     -2     2    -9     1 1 1
      17     -2     3    -9     1 1 1
      18     -1    -4    -9     1 1 1
      19     -1    -3    -9     1 1 1
      20     -1    -2    -9     1 1 1
      21     -1    -1    -9     1 1 1
      22     -1     0    -9     1 1 1
      23     -1     1    -9     1 1 1
      24     -1     2    -9     1 1 1
      25     -1     3    -9     1 1 1
      26     -1     4    -9     1 1 1
      27      0    -4    -9     1 1 1
      28      0    -3    -9     1 1 1
      29      0    -2    -9     1 1 1
      30      0    -1    -9     1 1 1
      31      0     0    -9     1 1 1
      32      0     1    -9     1 1 1
      33      0     2    -9     1 1 1
      34      0     3    -9     1 1 1
      35      0     4    -9     1 1 1
      36      1    -4    -9     1 1 1
      37      1    -3    -9     1 1 1
      38      1    -2    -9     1 1 1
      39      1    -1    -9     1 1 1
      40      1     0    -9     1 1 1
      41      1     1    -9     1 1 1
      42      1     2    -9     1 1 1
      43      1     3    -9     1 1 1
      44      1     4    -9     1 1 1
      45      2    -3    -9     1 1 1
      46      2    -2    -9     1 1 1
      47      2    -1    -9     1 1 1
      48      2     0    -9     1 1 1
      49      2     1    -9     1 1 1
      50      2     2    -9     1 1 1
      51      2     3    -9     1 1 1
      52      3    -3    -9     1 1 1
      53      3    -2    -9     1 1 1
      54      3    -1    -9     1 1 1
      55      3     0    -9     1 1 1
      56      3     1    -9     1 1 1
      57      3     2    -9     1 1 1
      58      3     3    -9     1 1 1
      59      4    -1    -9     1 1 1
      60      4     0    -9     1 1 1
      61      4     1    -9     1 1 1
      62     -5    -3    -8     1 1 1
      63     -5    -2    -8     1 1 1
      64     -5    -1    -8     1 1 1
      65     -5     0    -8     1 1 1
      66     -5     1    -8     1 1 1
      67     -5     2    -8     1 1 1
      68     -5     3    -8     1 1 1
      69     -4    -4    -8     1 1 1
      70     -4    -3    -8     1 1 1
      71     -4    -2    -8     1 1 1
      72     -4    -1    -8     1 1 1
      73     -4     0    -8     1 1 1
      74     -4     1    -8     1 1 1
      75     -4     2    -8     1 1 1
      76     -4     3    -8     1 1 1
      77     -4     4    -8     1 1 1
      78     -3    -5    -8     1 1 1
      79     -3    -4    -8     1 1 1
      80     -3    -3    -8     1 1 1
      81     -3    -2    -8     1 1 1
      82     -3    -1    -8     1 1 1
      83     -3     0    -8     1 1 1
      84     -3     1    -8     1 1 1
      85     -3     2    -8     1 1 1
      86     -3     3    -8     1 1 1
      87     -3     4    -8     1 1 1
      88     -3     5    -8     1 1 1
      89     -2    -5    -8     1 1 1
      90     -2    -4    -8     1 1 1
      91     -2    -3    -8     1 1 1
      92     -2    -2    -8     1 1 1
      93     -2    -1    -8     1 1 1
      94     -2     0    -8     1 1 1
      95     -2     1    -8     1 1 1
      96     -2     2    -8     1 1 1
      97     -2     3    -8     1 1 1
      98     -2     4    -8     1 1 1
      99     -2     5    -8     1 1 1
     100     -1    -5    -8     1 1 1
     101     -1    -4    -8     1 1 1
     102     -1    -3    -8     1 1 1
     103     -1    -2    -8     1 1 1
     104     -1    -1    -8     1 1 1
     105     -1     0    -8     1 1 1
     106     -1     1    -8     1 1 1
     107     -1     2    -8     1 1 1
     108     -1     3    -8     1 1 1
     109     -1     4    -8     1 1 1
     110     -1     5    -8     1 1 1
     111      0    -5    -8     1 1 1
     112      0    -4    -8     1 1 1
     113      0    -3    -8     1 1 1
     114      0    -2    -8     1 1 1
     115      0    -1    -8     1 1 1
     116      0     0    -8     1 1 1
     117      0     1    -8     1 1 1
     118      0     2    -8     1 1 1
     119      0     3    -8     1 1 1
     120      0     4    -8     1 1 1
     121      0     5    -8     1 1 1
     122      1    -5    -8     1 1 1
     123      1    -4    -8     1 1 1
     124      1    -3    -8     1 1 1
     125      1    -2    -8     1 1 1
     126      1    -1    -8     1 1 1
     127      1     0    -8     1 1 1
     128      1     1    -8     1 1 1
     129      1     2    -8     1 1 1
     130      1     3    -8     1 1 1
     131      1     4    -8     1 1 1
     132      1     5    -8     1 1 1
     133      2    -5    -8     1 1 1
     134      2    -4    -8     1 1 1
     135      2    -3    -8     1 1 1
     136      2    -2    -8     1 1 1
     137      2    -1    -8     1 1 1
     138      2     0    -8     1 1 1
     139      2     1    -8     1 1 1
     140      2     2    -8     1 1 1
     141      2     3    -8     1 1 1
     142      2     4    -8     1 1 1
     143      2     5    -8     1 1 1
     144      3    -5    -8     1 1 1
     145      3    -4    -8     1 1 1
     146      3    -3    -8     1 1 1
     147      3    -2    -8     1 1 1
     148      3    -1    -8     1 1 1
     149      3     0    -8     1 1 1
     150      3     1    -8     1 1 1
     151      3     2    -8     1 1 1
     152      3     3    -8     1 1 1
     153      3     4    -8     1 1 1
     154      3     5    -8     1 1 1
     155      4    -4    -8     1 1 1
     156      4    -3    -8     1 1 1
     157      4    -2    -8     1 1 1
     158      4    -1    -8     1 1 1
     159      4     0    -8     1 1 1
     160      4     1    -8     1 1 1
     161      4     2    -8     1 1 1
     162      4     3    -8     1 1 1
     163      4     4    -8     1 1 1
     164      5    -3    -8     1 1 1
     165      5    -2    -8     1 1 1
     166      5    -1    -8     1 1 1
     167      5     0    -8     1 1 1
     168      5     1    -8     1 1 1
     169      5     2    -8     1 1 1
     170      5     3    -8     1 1 1
     171     -7    -1    -7     1 1 1
     172     -7     0    -7     1 1 1
     173     -7     1    -7     1 1 1
     174     -6    -3    -7     1 1 1
     175     -6    -2    -7     1 1 1
     176     -6    -1    -7     1 1 1
     177     -6     0    -7     1 1 1
     178     -6     1    -7     1 1 1
     179     -6     2    -7     1 1 1
     180     -6     3    -7     1 1 1
     181     -5    -5    -7     1 1 1
     182     -5    -4    -7     1 1 1
     183     -5    -3    -7     1 1 1
     184     -5    -2    -7     1 1 1
     185     -5    -1    -7     1 1 1
     186     -5     0    -7     1 1 1
     187     -5     1    -7     1 1 1
     188     -5     2    -7     1 1 1
     189     -5     3    -7     1 1 1
     190     -5     4    -7     1 1 1
     191     -5     5    -7     1 1 1
     192     -4    -5    -7     1 1 1
     193     -4    -4    -7     1 1 1
     194     -4    -3    -7     1 1 1
     195     -4    -2    -7     1 1 1
     196     -4    -1    -7     1 1 1
     197     -4     0    -7     1 1 1
     198     -4     1    -7     1 1 1
     199     -4     2    -7     1 1 1
     200     -4     3    -7     1 1 1
     201     -4     4    -7     1 1 1
     202     -4     5    -7     1 1 1
     203     -3    -6    -7     1 1 1
     204     -3    -5    -7     1 1 1
     205     -3    -4    -7     1 1 1
     206     -3    -3    -7     1 1 1
     207     -3    -2    -7     1 1 1
     208     -3    -1    -7     1 1 1
     209     -3     0    -7     1 1 1
     210     -3     1    -7     1 1 1
     211     -3     2    -7     1 1 1
     212     -3     3    -7     1 1 1
     213     -3     4    -7     1 1 1
     214     -3     5    -7     1 1 1
     215     -3     6    -7     1 1 1
     216     -2    -6    -7     1 1 1
     217     -2    -5    -7     1 1 1
     218     -2    -4    -7     1 1 1
     219     -2    -3    -7     1 1 1
     220     -2    -2    -7     1 1 1
     221     -2    -1    -7     1 1 1
     222     -2     0    -7     1 1 1
     223     -2     1    -7     1 1 1
     224     -2     2    -7     1 1 1
     225     -2     3    -7     1 1 1
     226     -2     4    -7     1 1 1
     227     -2     5    -7     1 1 1
     228     -2     6    -7     1 1 1
     229     -1    -7    -7     1 1 1
     230     -1    -6    -7     1 1 1
     231     -1    -5    -7     1 1 1
     232     -1    -4    -7     1 1 1
     233     -1    -3    -7     1 1 1
     234     -1    -2    -7     1 1 1
     235     -1    -1    -7     1 1 1
     236     -1     0    -7     1 1 1
     237     -1     1    -7     1 1 1
     238     -1     2    -7     1 1 1
     239     -1     3    -7     1 1 1
     240     -1     4    -7     1 1 1
     241     -1     5    -7     1 1 1
     242     -1     6    -7     1 1 1
     243     -1     7    -7     1 1 1
     244      0    -7    -7     1 1 1
     245      0    -6    -7     1 1 1
     246      0    -5    -7     1 1 1
     247      0    -4    -7     1 1 1
     248      0    -3    -7     1 1 1
     249      0    -2    -7     1 1 1
     250      0    -1    -7     1 1 1
     251      0     0    -7     1 1 1
     252      0     1    -7     1 1 1
     253      0     2    -7     1 1 1
     254      0     3    -7     1 1 1
     255      0     4    -7     1 1 1
     256      0     5    -7     1 1 1
     257      0     6    -7     1 1 1
     258      0     7    -7     1 1 1
     259      1    -7    -7     1 1 1
     260      1    -6    -7     1 1 1
     261      1    -5    -7     1 1 1
     262      1    -4    -7     1 1 1
     263      1    -3    -7     1 1 1
     264      1    -2    -7     1 1 1
     265      1    -1    -7     1 1 1
     266      1     0    -7     1 1 1
